text,exp_and_td,labels
"Earthquake Sismo M 2.2 - 0km SSE of Green Valley, California: DYFI? - ITime2014-08-28 14:05:22 UTC2014-08-28... http",donation needs or offers or volunteering services,7
"Earthquake Sismo M 2.2 - 0km SSE of Green Valley, California: DYFI? - ITime2014-08-28 14:05:22 UTC2014-08-28... http",caution and advice,7
"Earthquake Sismo M 2.2 - 0km SSE of Green Valley, California: DYFI? - ITime2014-08-28 14:05:22 UTC2014-08-28... http",sympathy and emotional support,7
"Earthquake Sismo M 2.2 - 0km SSE of Green Valley, California: DYFI? - ITime2014-08-28 14:05:22 UTC2014-08-28... http",other useful information,7
"Earthquake Sismo M 2.2 - 0km SSE of Green Valley, California: DYFI? - ITime2014-08-28 14:05:22 UTC2014-08-28... http",not related or irrelevant,7
"Earthquake Sismo M 2.2 - 0km SSE of Green Valley, California: DYFI? - ITime2014-08-28 14:05:22 UTC2014-08-28... http",someone is confirm dead death die or killed injured or hurt,7
Reuters: Chilean President Michelle Bachelet among those evacuated from Arica coastline amid tsunami warnings,injured or dead people,2
Reuters: Chilean President Michelle Bachelet among those evacuated from Arica coastline amid tsunami warnings,missing trapped or found people,2
Reuters: Chilean President Michelle Bachelet among those evacuated from Arica coastline amid tsunami warnings,displaced people and evacuations,2
Reuters: Chilean President Michelle Bachelet among those evacuated from Arica coastline amid tsunami warnings,infrastructure and utilities damage,2
Reuters: Chilean President Michelle Bachelet among those evacuated from Arica coastline amid tsunami warnings,donation needs or offers or volunteering services,2
Reuters: Chilean President Michelle Bachelet among those evacuated from Arica coastline amid tsunami warnings,caution and advice,2
Reuters: Chilean President Michelle Bachelet among those evacuated from Arica coastline amid tsunami warnings,sympathy and emotional support,2
Reuters: Chilean President Michelle Bachelet among those evacuated from Arica coastline amid tsunami warnings,other useful information,2
Reuters: Chilean President Michelle Bachelet among those evacuated from Arica coastline amid tsunami warnings,not related or irrelevant,2
Reuters: Chilean President Michelle Bachelet among those evacuated from Arica coastline amid tsunami warnings,someone is confirm dead death die or killed injured or hurt,2
"Turn On Pray For Chile Chile  Chile Earthquake Fuerza Norte De Chile ""Impuestos verdes""",injured or dead people,6
"Turn On Pray For Chile Chile  Chile Earthquake Fuerza Norte De Chile ""Impuestos verdes""",missing trapped or found people,6
"Turn On Pray For Chile Chile  Chile Earthquake Fuerza Norte De Chile ""Impuestos verdes""",displaced people and evacuations,6
"Turn On Pray For Chile Chile  Chile Earthquake Fuerza Norte De Chile ""Impuestos verdes""",infrastructure and utilities damage,6
"Turn On Pray For Chile Chile  Chile Earthquake Fuerza Norte De Chile ""Impuestos verdes""",donation needs or offers or volunteering services,6
"Turn On Pray For Chile Chile  Chile Earthquake Fuerza Norte De Chile ""Impuestos verdes""",caution and advice,6
"Turn On Pray For Chile Chile  Chile Earthquake Fuerza Norte De Chile ""Impuestos verdes""",sympathy and emotional support,6
"Turn On Pray For Chile Chile  Chile Earthquake Fuerza Norte De Chile ""Impuestos verdes""",other useful information,6
"Turn On Pray For Chile Chile  Chile Earthquake Fuerza Norte De Chile ""Impuestos verdes""",not related or irrelevant,6
"Turn On Pray For Chile Chile  Chile Earthquake Fuerza Norte De Chile ""Impuestos verdes""",someone is confirm dead death die or killed injured or hurt,6
We will provide every possible support to the Earthquake victims of Balochistan: CM Punjab Mian Shahbaz Sharif. Cap…,injured or dead people,6
We will provide every possible support to the Earthquake victims of Balochistan: CM Punjab Mian Shahbaz Sharif. Cap…,missing trapped or found people,6
We will provide every possible support to the Earthquake victims of Balochistan: CM Punjab Mian Shahbaz Sharif. Cap…,displaced people and evacuations,6
We will provide every possible support to the Earthquake victims of Balochistan: CM Punjab Mian Shahbaz Sharif. Cap…,infrastructure and utilities damage,6
We will provide every possible support to the Earthquake victims of Balochistan: CM Punjab Mian Shahbaz Sharif. Cap…,donation needs or offers or volunteering services,6
We will provide every possible support to the Earthquake victims of Balochistan: CM Punjab Mian Shahbaz Sharif. Cap…,caution and advice,6
We will provide every possible support to the Earthquake victims of Balochistan: CM Punjab Mian Shahbaz Sharif. Cap…,sympathy and emotional support,6
We will provide every possible support to the Earthquake victims of Balochistan: CM Punjab Mian Shahbaz Sharif. Cap…,other useful information,6
We will provide every possible support to the Earthquake victims of Balochistan: CM Punjab Mian Shahbaz Sharif. Cap…,not related or irrelevant,6
We will provide every possible support to the Earthquake victims of Balochistan: CM Punjab Mian Shahbaz Sharif. Cap…,someone is confirm dead death die or killed injured or hurt,6
The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPA Calif. (Reuters) - A 6.0 magnitude... http,injured or dead people,0
The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPA Calif. (Reuters) - A 6.0 magnitude... http,missing trapped or found people,0
The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPA Calif. (Reuters) - A 6.0 magnitude... http,displaced people and evacuations,0
The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPA Calif. (Reuters) - A 6.0 magnitude... http,infrastructure and utilities damage,0
The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPA Calif. (Reuters) - A 6.0 magnitude... http,donation needs or offers or volunteering services,0
The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPA Calif. (Reuters) - A 6.0 magnitude... http,caution and advice,0
The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPA Calif. (Reuters) - A 6.0 magnitude... http,sympathy and emotional support,0
The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPA Calif. (Reuters) - A 6.0 magnitude... http,other useful information,0
The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPA Calif. (Reuters) - A 6.0 magnitude... http,not related or irrelevant,0
The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPA Calif. (Reuters) - A 6.0 magnitude... http,someone is confirm dead death die or killed injured or hurt,0
"USGS reports a M0.9  1km NNW of The Geysers, California on 8/27/14 @ 10:22:37 UTC http",injured or dead people,7
"USGS reports a M0.9  1km NNW of The Geysers, California on 8/27/14 @ 10:22:37 UTC http",missing trapped or found people,7
"USGS reports a M0.9  1km NNW of The Geysers, California on 8/27/14 @ 10:22:37 UTC http",displaced people and evacuations,7
"USGS reports a M0.9  1km NNW of The Geysers, California on 8/27/14 @ 10:22:37 UTC http",infrastructure and utilities damage,7
"USGS reports a M0.9  1km NNW of The Geysers, California on 8/27/14 @ 10:22:37 UTC http",donation needs or offers or volunteering services,7
"USGS reports a M0.9  1km NNW of The Geysers, California on 8/27/14 @ 10:22:37 UTC http",caution and advice,7
"USGS reports a M0.9  1km NNW of The Geysers, California on 8/27/14 @ 10:22:37 UTC http",sympathy and emotional support,7
"USGS reports a M0.9  1km NNW of The Geysers, California on 8/27/14 @ 10:22:37 UTC http",other useful information,7
"USGS reports a M0.9  1km NNW of The Geysers, California on 8/27/14 @ 10:22:37 UTC http",not related or irrelevant,7
"USGS reports a M0.9  1km NNW of The Geysers, California on 8/27/14 @ 10:22:37 UTC http",someone is confirm dead death die or killed injured or hurt,7
"While Pray For Chile is a good idea , any one went to go down there and actually help",injured or dead people,6
"While Pray For Chile is a good idea , any one went to go down there and actually help",missing trapped or found people,6
"While Pray For Chile is a good idea , any one went to go down there and actually help",displaced people and evacuations,6
"While Pray For Chile is a good idea , any one went to go down there and actually help",infrastructure and utilities damage,6
"While Pray For Chile is a good idea , any one went to go down there and actually help",donation needs or offers or volunteering services,6
"While Pray For Chile is a good idea , any one went to go down there and actually help",caution and advice,6
"While Pray For Chile is a good idea , any one went to go down there and actually help",sympathy and emotional support,6
"While Pray For Chile is a good idea , any one went to go down there and actually help",other useful information,6
"While Pray For Chile is a good idea , any one went to go down there and actually help",not related or irrelevant,6
"While Pray For Chile is a good idea , any one went to go down there and actually help",someone is confirm dead death die or killed injured or hurt,6
Northern California Quake: No Way to Know When Next One ... http via  U S A Headlines http,injured or dead people,7
Northern California Quake: No Way to Know When Next One ... http via  U S A Headlines http,missing trapped or found people,7
Northern California Quake: No Way to Know When Next One ... http via  U S A Headlines http,displaced people and evacuations,7
Northern California Quake: No Way to Know When Next One ... http via  U S A Headlines http,infrastructure and utilities damage,7
Northern California Quake: No Way to Know When Next One ... http via  U S A Headlines http,donation needs or offers or volunteering services,7
Northern California Quake: No Way to Know When Next One ... http via  U S A Headlines http,caution and advice,7
Northern California Quake: No Way to Know When Next One ... http via  U S A Headlines http,sympathy and emotional support,7
Northern California Quake: No Way to Know When Next One ... http via  U S A Headlines http,other useful information,7
Northern California Quake: No Way to Know When Next One ... http via  U S A Headlines http,not related or irrelevant,7
Northern California Quake: No Way to Know When Next One ... http via  U S A Headlines http,someone is confirm dead death die or killed injured or hurt,7
The Latest on the Napa Earthquake http,injured or dead people,7
The Latest on the Napa Earthquake http,missing trapped or found people,7
The Latest on the Napa Earthquake http,displaced people and evacuations,7
The Latest on the Napa Earthquake http,infrastructure and utilities damage,7
The Latest on the Napa Earthquake http,donation needs or offers or volunteering services,7
The Latest on the Napa Earthquake http,caution and advice,7
The Latest on the Napa Earthquake http,sympathy and emotional support,7
The Latest on the Napa Earthquake http,other useful information,7
The Latest on the Napa Earthquake http,not related or irrelevant,7
The Latest on the Napa Earthquake http,someone is confirm dead death die or killed injured or hurt,7
Chile’s earthquakes  http,injured or dead people,7
Chile’s earthquakes  http,missing trapped or found people,7
Chile’s earthquakes  http,displaced people and evacuations,7
Chile’s earthquakes  http,infrastructure and utilities damage,7
Chile’s earthquakes  http,donation needs or offers or volunteering services,7
Chile’s earthquakes  http,caution and advice,7
Chile’s earthquakes  http,sympathy and emotional support,7
Chile’s earthquakes  http,other useful information,7
Chile’s earthquakes  http,not related or irrelevant,7
Chile’s earthquakes  http,someone is confirm dead death die or killed injured or hurt,7
"Earthquake, Drought and Wildfires Ravage California: We probably can't blame the earthquake that hit Californi... http",injured or dead people,7
"Earthquake, Drought and Wildfires Ravage California: We probably can't blame the earthquake that hit Californi... http",missing trapped or found people,7
"Earthquake, Drought and Wildfires Ravage California: We probably can't blame the earthquake that hit Californi... http",displaced people and evacuations,7
"Earthquake, Drought and Wildfires Ravage California: We probably can't blame the earthquake that hit Californi... http",infrastructure and utilities damage,7
"Earthquake, Drought and Wildfires Ravage California: We probably can't blame the earthquake that hit Californi... http",donation needs or offers or volunteering services,7
"Earthquake, Drought and Wildfires Ravage California: We probably can't blame the earthquake that hit Californi... http",caution and advice,7
"Earthquake, Drought and Wildfires Ravage California: We probably can't blame the earthquake that hit Californi... http",sympathy and emotional support,7
"Earthquake, Drought and Wildfires Ravage California: We probably can't blame the earthquake that hit Californi... http",other useful information,7
"Earthquake, Drought and Wildfires Ravage California: We probably can't blame the earthquake that hit Californi... http",not related or irrelevant,7
"Earthquake, Drought and Wildfires Ravage California: We probably can't blame the earthquake that hit Californi... http",someone is confirm dead death die or killed injured or hurt,7
"20,000 homes were left without power following the magnitude 6 earthquake that hit California. New At6",injured or dead people,3
"20,000 homes were left without power following the magnitude 6 earthquake that hit California. New At6",missing trapped or found people,3
"20,000 homes were left without power following the magnitude 6 earthquake that hit California. New At6",displaced people and evacuations,3
"20,000 homes were left without power following the magnitude 6 earthquake that hit California. New At6",infrastructure and utilities damage,3
"20,000 homes were left without power following the magnitude 6 earthquake that hit California. New At6",donation needs or offers or volunteering services,3
"20,000 homes were left without power following the magnitude 6 earthquake that hit California. New At6",caution and advice,3
"20,000 homes were left without power following the magnitude 6 earthquake that hit California. New At6",sympathy and emotional support,3
"20,000 homes were left without power following the magnitude 6 earthquake that hit California. New At6",other useful information,3
"20,000 homes were left without power following the magnitude 6 earthquake that hit California. New At6",not related or irrelevant,3
"20,000 homes were left without power following the magnitude 6 earthquake that hit California. New At6",someone is confirm dead death die or killed injured or hurt,3
Thanks for your concern but quake and tsunami warning in different part of Chile...hope everyone is ok and all stay safe.,injured or dead people,6
Thanks for your concern but quake and tsunami warning in different part of Chile...hope everyone is ok and all stay safe.,missing trapped or found people,6
Thanks for your concern but quake and tsunami warning in different part of Chile...hope everyone is ok and all stay safe.,displaced people and evacuations,6
Thanks for your concern but quake and tsunami warning in different part of Chile...hope everyone is ok and all stay safe.,infrastructure and utilities damage,6
Thanks for your concern but quake and tsunami warning in different part of Chile...hope everyone is ok and all stay safe.,donation needs or offers or volunteering services,6
Thanks for your concern but quake and tsunami warning in different part of Chile...hope everyone is ok and all stay safe.,caution and advice,6
Thanks for your concern but quake and tsunami warning in different part of Chile...hope everyone is ok and all stay safe.,sympathy and emotional support,6
Thanks for your concern but quake and tsunami warning in different part of Chile...hope everyone is ok and all stay safe.,other useful information,6
Thanks for your concern but quake and tsunami warning in different part of Chile...hope everyone is ok and all stay safe.,not related or irrelevant,6
Thanks for your concern but quake and tsunami warning in different part of Chile...hope everyone is ok and all stay safe.,someone is confirm dead death die or killed injured or hurt,6
Northern California earthquake the strongest in 25 years http,injured or dead people,7
Northern California earthquake the strongest in 25 years http,missing trapped or found people,7
Northern California earthquake the strongest in 25 years http,displaced people and evacuations,7
Northern California earthquake the strongest in 25 years http,infrastructure and utilities damage,7
Northern California earthquake the strongest in 25 years http,donation needs or offers or volunteering services,7
Northern California earthquake the strongest in 25 years http,caution and advice,7
Northern California earthquake the strongest in 25 years http,sympathy and emotional support,7
Northern California earthquake the strongest in 25 years http,other useful information,7
Northern California earthquake the strongest in 25 years http,not related or irrelevant,7
Northern California earthquake the strongest in 25 years http,someone is confirm dead death die or killed injured or hurt,7
Northern California Rocked by Most Powerful Earthquake Since 1989 - Latin American Herald Tribune http,injured or dead people,7
Northern California Rocked by Most Powerful Earthquake Since 1989 - Latin American Herald Tribune http,missing trapped or found people,7
Northern California Rocked by Most Powerful Earthquake Since 1989 - Latin American Herald Tribune http,displaced people and evacuations,7
Northern California Rocked by Most Powerful Earthquake Since 1989 - Latin American Herald Tribune http,infrastructure and utilities damage,7
Northern California Rocked by Most Powerful Earthquake Since 1989 - Latin American Herald Tribune http,donation needs or offers or volunteering services,7
Northern California Rocked by Most Powerful Earthquake Since 1989 - Latin American Herald Tribune http,caution and advice,7
Northern California Rocked by Most Powerful Earthquake Since 1989 - Latin American Herald Tribune http,sympathy and emotional support,7
Northern California Rocked by Most Powerful Earthquake Since 1989 - Latin American Herald Tribune http,other useful information,7
Northern California Rocked by Most Powerful Earthquake Since 1989 - Latin American Herald Tribune http,not related or irrelevant,7
Northern California Rocked by Most Powerful Earthquake Since 1989 - Latin American Herald Tribune http,someone is confirm dead death die or killed injured or hurt,7
6.0-magnitude quake strikes Northern California http,injured or dead people,7
6.0-magnitude quake strikes Northern California http,missing trapped or found people,7
6.0-magnitude quake strikes Northern California http,displaced people and evacuations,7
6.0-magnitude quake strikes Northern California http,infrastructure and utilities damage,7
6.0-magnitude quake strikes Northern California http,donation needs or offers or volunteering services,7
6.0-magnitude quake strikes Northern California http,caution and advice,7
6.0-magnitude quake strikes Northern California http,sympathy and emotional support,7
6.0-magnitude quake strikes Northern California http,other useful information,7
6.0-magnitude quake strikes Northern California http,not related or irrelevant,7
6.0-magnitude quake strikes Northern California http,someone is confirm dead death die or killed injured or hurt,7
PhotoAlbum: K K F send relief goods for Balochistan Earthquake Victims Relief By K K F M Q M Pakistan http,injured or dead people,4
PhotoAlbum: K K F send relief goods for Balochistan Earthquake Victims Relief By K K F M Q M Pakistan http,missing trapped or found people,4
PhotoAlbum: K K F send relief goods for Balochistan Earthquake Victims Relief By K K F M Q M Pakistan http,displaced people and evacuations,4
PhotoAlbum: K K F send relief goods for Balochistan Earthquake Victims Relief By K K F M Q M Pakistan http,infrastructure and utilities damage,4
PhotoAlbum: K K F send relief goods for Balochistan Earthquake Victims Relief By K K F M Q M Pakistan http,donation needs or offers or volunteering services,4
PhotoAlbum: K K F send relief goods for Balochistan Earthquake Victims Relief By K K F M Q M Pakistan http,caution and advice,4
PhotoAlbum: K K F send relief goods for Balochistan Earthquake Victims Relief By K K F M Q M Pakistan http,sympathy and emotional support,4
PhotoAlbum: K K F send relief goods for Balochistan Earthquake Victims Relief By K K F M Q M Pakistan http,other useful information,4
PhotoAlbum: K K F send relief goods for Balochistan Earthquake Victims Relief By K K F M Q M Pakistan http,not related or irrelevant,4
PhotoAlbum: K K F send relief goods for Balochistan Earthquake Victims Relief By K K F M Q M Pakistan http,someone is confirm dead death die or killed injured or hurt,4
Napa earthquake map: Red-tagged buildings: Esri map shows the damages caused by the 6.0 Napa earthquake. http,injured or dead people,3
Napa earthquake map: Red-tagged buildings: Esri map shows the damages caused by the 6.0 Napa earthquake. http,missing trapped or found people,3
Napa earthquake map: Red-tagged buildings: Esri map shows the damages caused by the 6.0 Napa earthquake. http,displaced people and evacuations,3
Napa earthquake map: Red-tagged buildings: Esri map shows the damages caused by the 6.0 Napa earthquake. http,infrastructure and utilities damage,3
Napa earthquake map: Red-tagged buildings: Esri map shows the damages caused by the 6.0 Napa earthquake. http,donation needs or offers or volunteering services,3
Napa earthquake map: Red-tagged buildings: Esri map shows the damages caused by the 6.0 Napa earthquake. http,caution and advice,3
Napa earthquake map: Red-tagged buildings: Esri map shows the damages caused by the 6.0 Napa earthquake. http,sympathy and emotional support,3
Napa earthquake map: Red-tagged buildings: Esri map shows the damages caused by the 6.0 Napa earthquake. http,other useful information,3
Napa earthquake map: Red-tagged buildings: Esri map shows the damages caused by the 6.0 Napa earthquake. http,not related or irrelevant,3
Napa earthquake map: Red-tagged buildings: Esri map shows the damages caused by the 6.0 Napa earthquake. http,someone is confirm dead death die or killed injured or hurt,3
State of Emergency declared after California earthquake http,injured or dead people,5
State of Emergency declared after California earthquake http,missing trapped or found people,5
State of Emergency declared after California earthquake http,displaced people and evacuations,5
State of Emergency declared after California earthquake http,infrastructure and utilities damage,5
State of Emergency declared after California earthquake http,donation needs or offers or volunteering services,5
State of Emergency declared after California earthquake http,caution and advice,5
State of Emergency declared after California earthquake http,sympathy and emotional support,5
State of Emergency declared after California earthquake http,other useful information,5
State of Emergency declared after California earthquake http,not related or irrelevant,5
State of Emergency declared after California earthquake http,someone is confirm dead death die or killed injured or hurt,5
It's a natural thing.,injured or dead people,8
It's a natural thing.,missing trapped or found people,8
It's a natural thing.,displaced people and evacuations,8
It's a natural thing.,infrastructure and utilities damage,8
It's a natural thing.,donation needs or offers or volunteering services,8
It's a natural thing.,caution and advice,8
It's a natural thing.,sympathy and emotional support,8
It's a natural thing.,other useful information,8
It's a natural thing.,not related or irrelevant,8
It's a natural thing.,someone is confirm dead death die or killed injured or hurt,8
"USGS reports a M0.9  10km WNW of Cobb, California on 9/25/13 @ 22:32:57 UTC http",injured or dead people,7
"USGS reports a M0.9  10km WNW of Cobb, California on 9/25/13 @ 22:32:57 UTC http",missing trapped or found people,7
"USGS reports a M0.9  10km WNW of Cobb, California on 9/25/13 @ 22:32:57 UTC http",displaced people and evacuations,7
"USGS reports a M0.9  10km WNW of Cobb, California on 9/25/13 @ 22:32:57 UTC http",infrastructure and utilities damage,7
"USGS reports a M0.9  10km WNW of Cobb, California on 9/25/13 @ 22:32:57 UTC http",donation needs or offers or volunteering services,7
"USGS reports a M0.9  10km WNW of Cobb, California on 9/25/13 @ 22:32:57 UTC http",caution and advice,7
"USGS reports a M0.9  10km WNW of Cobb, California on 9/25/13 @ 22:32:57 UTC http",sympathy and emotional support,7
"USGS reports a M0.9  10km WNW of Cobb, California on 9/25/13 @ 22:32:57 UTC http",other useful information,7
"USGS reports a M0.9  10km WNW of Cobb, California on 9/25/13 @ 22:32:57 UTC http",not related or irrelevant,7
"USGS reports a M0.9  10km WNW of Cobb, California on 9/25/13 @ 22:32:57 UTC http",someone is confirm dead death die or killed injured or hurt,7
Our thoughts &amp; prayers go out to the wineries in Napa that suffered damage during the recent earthquake Wine Wednesday Wine Lovers,injured or dead people,6
Our thoughts &amp; prayers go out to the wineries in Napa that suffered damage during the recent earthquake Wine Wednesday Wine Lovers,missing trapped or found people,6
Our thoughts &amp; prayers go out to the wineries in Napa that suffered damage during the recent earthquake Wine Wednesday Wine Lovers,displaced people and evacuations,6
Our thoughts &amp; prayers go out to the wineries in Napa that suffered damage during the recent earthquake Wine Wednesday Wine Lovers,infrastructure and utilities damage,6
Our thoughts &amp; prayers go out to the wineries in Napa that suffered damage during the recent earthquake Wine Wednesday Wine Lovers,donation needs or offers or volunteering services,6
Our thoughts &amp; prayers go out to the wineries in Napa that suffered damage during the recent earthquake Wine Wednesday Wine Lovers,caution and advice,6
Our thoughts &amp; prayers go out to the wineries in Napa that suffered damage during the recent earthquake Wine Wednesday Wine Lovers,sympathy and emotional support,6
Our thoughts &amp; prayers go out to the wineries in Napa that suffered damage during the recent earthquake Wine Wednesday Wine Lovers,other useful information,6
Our thoughts &amp; prayers go out to the wineries in Napa that suffered damage during the recent earthquake Wine Wednesday Wine Lovers,not related or irrelevant,6
Our thoughts &amp; prayers go out to the wineries in Napa that suffered damage during the recent earthquake Wine Wednesday Wine Lovers,someone is confirm dead death die or killed injured or hurt,6
England GBR Newcastle upon Tyne http BREAKING NEWS 965 California earthquake California earthquake: Most po…,injured or dead people,7
England GBR Newcastle upon Tyne http BREAKING NEWS 965 California earthquake California earthquake: Most po…,missing trapped or found people,7
England GBR Newcastle upon Tyne http BREAKING NEWS 965 California earthquake California earthquake: Most po…,displaced people and evacuations,7
England GBR Newcastle upon Tyne http BREAKING NEWS 965 California earthquake California earthquake: Most po…,infrastructure and utilities damage,7
England GBR Newcastle upon Tyne http BREAKING NEWS 965 California earthquake California earthquake: Most po…,donation needs or offers or volunteering services,7
England GBR Newcastle upon Tyne http BREAKING NEWS 965 California earthquake California earthquake: Most po…,caution and advice,7
England GBR Newcastle upon Tyne http BREAKING NEWS 965 California earthquake California earthquake: Most po…,sympathy and emotional support,7
England GBR Newcastle upon Tyne http BREAKING NEWS 965 California earthquake California earthquake: Most po…,other useful information,7
England GBR Newcastle upon Tyne http BREAKING NEWS 965 California earthquake California earthquake: Most po…,not related or irrelevant,7
England GBR Newcastle upon Tyne http BREAKING NEWS 965 California earthquake California earthquake: Most po…,someone is confirm dead death die or killed injured or hurt,7
God Sends Earthquake Because California Ship Work…: http,injured or dead people,7
God Sends Earthquake Because California Ship Work…: http,missing trapped or found people,7
God Sends Earthquake Because California Ship Work…: http,displaced people and evacuations,7
God Sends Earthquake Because California Ship Work…: http,infrastructure and utilities damage,7
God Sends Earthquake Because California Ship Work…: http,donation needs or offers or volunteering services,7
God Sends Earthquake Because California Ship Work…: http,caution and advice,7
God Sends Earthquake Because California Ship Work…: http,sympathy and emotional support,7
God Sends Earthquake Because California Ship Work…: http,other useful information,7
God Sends Earthquake Because California Ship Work…: http,not related or irrelevant,7
God Sends Earthquake Because California Ship Work…: http,someone is confirm dead death die or killed injured or hurt,7
¦ http 958 ¦ State of Emergency Declared After California Earthquake ¦ Jerry Brown declared a state of emer…,injured or dead people,5
¦ http 958 ¦ State of Emergency Declared After California Earthquake ¦ Jerry Brown declared a state of emer…,missing trapped or found people,5
¦ http 958 ¦ State of Emergency Declared After California Earthquake ¦ Jerry Brown declared a state of emer…,displaced people and evacuations,5
¦ http 958 ¦ State of Emergency Declared After California Earthquake ¦ Jerry Brown declared a state of emer…,infrastructure and utilities damage,5
¦ http 958 ¦ State of Emergency Declared After California Earthquake ¦ Jerry Brown declared a state of emer…,donation needs or offers or volunteering services,5
¦ http 958 ¦ State of Emergency Declared After California Earthquake ¦ Jerry Brown declared a state of emer…,caution and advice,5
¦ http 958 ¦ State of Emergency Declared After California Earthquake ¦ Jerry Brown declared a state of emer…,sympathy and emotional support,5
¦ http 958 ¦ State of Emergency Declared After California Earthquake ¦ Jerry Brown declared a state of emer…,other useful information,5
¦ http 958 ¦ State of Emergency Declared After California Earthquake ¦ Jerry Brown declared a state of emer…,not related or irrelevant,5
¦ http 958 ¦ State of Emergency Declared After California Earthquake ¦ Jerry Brown declared a state of emer…,someone is confirm dead death die or killed injured or hurt,5
Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v,injured or dead people,0
Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v,missing trapped or found people,0
Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v,displaced people and evacuations,0
Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v,infrastructure and utilities damage,0
Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v,donation needs or offers or volunteering services,0
Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v,caution and advice,0
Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v,sympathy and emotional support,0
Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v,other useful information,0
Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v,not related or irrelevant,0
Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v,someone is confirm dead death die or killed injured or hurt,0
Pray For Chile Desde Nicaragua Fuerza Chile Nicaragua le pide a Dios por ustedes. Stay Strong x,injured or dead people,6
Pray For Chile Desde Nicaragua Fuerza Chile Nicaragua le pide a Dios por ustedes. Stay Strong x,missing trapped or found people,6
Pray For Chile Desde Nicaragua Fuerza Chile Nicaragua le pide a Dios por ustedes. Stay Strong x,displaced people and evacuations,6
Pray For Chile Desde Nicaragua Fuerza Chile Nicaragua le pide a Dios por ustedes. Stay Strong x,infrastructure and utilities damage,6
Pray For Chile Desde Nicaragua Fuerza Chile Nicaragua le pide a Dios por ustedes. Stay Strong x,donation needs or offers or volunteering services,6
Pray For Chile Desde Nicaragua Fuerza Chile Nicaragua le pide a Dios por ustedes. Stay Strong x,caution and advice,6
Pray For Chile Desde Nicaragua Fuerza Chile Nicaragua le pide a Dios por ustedes. Stay Strong x,sympathy and emotional support,6
Pray For Chile Desde Nicaragua Fuerza Chile Nicaragua le pide a Dios por ustedes. Stay Strong x,other useful information,6
Pray For Chile Desde Nicaragua Fuerza Chile Nicaragua le pide a Dios por ustedes. Stay Strong x,not related or irrelevant,6
Pray For Chile Desde Nicaragua Fuerza Chile Nicaragua le pide a Dios por ustedes. Stay Strong x,someone is confirm dead death die or killed injured or hurt,6
"Bridges, overpasses get OK after Northern California quake: The Bay Area's major bridges rode out the 6.0 eart... http",injured or dead people,7
"Bridges, overpasses get OK after Northern California quake: The Bay Area's major bridges rode out the 6.0 eart... http",missing trapped or found people,7
"Bridges, overpasses get OK after Northern California quake: The Bay Area's major bridges rode out the 6.0 eart... http",displaced people and evacuations,7
"Bridges, overpasses get OK after Northern California quake: The Bay Area's major bridges rode out the 6.0 eart... http",infrastructure and utilities damage,7
"Bridges, overpasses get OK after Northern California quake: The Bay Area's major bridges rode out the 6.0 eart... http",donation needs or offers or volunteering services,7
"Bridges, overpasses get OK after Northern California quake: The Bay Area's major bridges rode out the 6.0 eart... http",caution and advice,7
"Bridges, overpasses get OK after Northern California quake: The Bay Area's major bridges rode out the 6.0 eart... http",sympathy and emotional support,7
"Bridges, overpasses get OK after Northern California quake: The Bay Area's major bridges rode out the 6.0 eart... http",other useful information,7
"Bridges, overpasses get OK after Northern California quake: The Bay Area's major bridges rode out the 6.0 eart... http",not related or irrelevant,7
"Bridges, overpasses get OK after Northern California quake: The Bay Area's major bridges rode out the 6.0 eart... http",someone is confirm dead death die or killed injured or hurt,7
Earthquake May Allah have mercy and give strength to all victims and families.,injured or dead people,6
